namaste_code,namaste_term,namaste_terms,icd_code,icd_description
AYU,vyAdhi-viniScayaH,vyAdhi-viniScayaH,1A00,Cholera
A,doShavaiShamyam,doShavaiShamyam,1A00,Cholera
AA,vAtavyAdhiH,vAtavyAdhiH,1A00,Cholera
AAA,doShAvasthA (vAta),doShAvasthA (vAta),1A00,Cholera
SR11 (AAA-1),vAtasa~jcayaH,"It is characterized by impaired movements of vāta, fullness of abdomen and aversion to factors causing of increase of vāta such as cold. This may be explained by accumulation of vatadosha at the designated site to a moderate level resulting in accumulation. vAtasa~jcayaH",8A00,Epilepsy
SR12 (AAA-2),vAtavRuddhiH,"It is characterized by roughness or hoarseness of voice, emaciation, blackish discoloration of body, twitching in various parts of body, desire for warmth, insomnia, reduced physical strength, hard stools. This may be explained by marked increase of vatadosha functions and consequent physiological and pathological ramifications. vAtavRuddhiH",5B80,Obesity
SR10  (AAA-2.1),vAtaprakopaH,It is characterized by abdominal pain and increased gaseous movements in abdomen. This may be explained by aggravation of vatadosha at its designated site and preparing to cause certain morbidity. vAtaprakopaH,8A00,Epilepsy
AAA-2.2,prANavAtakopaH,"the disorder is characterized by hikkā [hiccup], śvāsa [breathlessness/difficult breathing], cakṣurādīnāmupaghāta [impairment of sense organs viz. eye], pīnasa [cold, catarrh], ardita [facial paralysis], tr̥ṭ [thirst], kāsaḥ [cough] prANavAtakopaH",1D81,COVID-19
AAA-2.3,udAnavAtakopaH,"the disorder is characterized by kaṇṭharōdha [choking of throat/stopping or lowering voice], manōbhraṁśa [mental disturbance], chardiḥ [vomiting], arōcakaḥ [tastelessness], pīnasa [cold, catarrh], galagaṇḍaḥ [glandular swelling in jaw, neck and throat region /goitre], jatrūrdhvarōga [diseases of body above collar bone/diseases of head and neck] udAnavAtakopaH",FA20,Cervical Spondylosis
AAA-2.4,vyAnavAtakopaH,"the disorder is characterized by puṁstvabhraṁśa [decrease in virility/semen], utsāhabhraṁśa [decrease/lack of enthusiasm/energy], balabhraṁśaḥ [diminution of physical strength], śōpha [oedema], cittōtplava [excitement], jvaraḥ [fever], sarvāṅgarōga [quadriplegia], nistōda [pricking type of pain], rōmaharṣa [horripilation], aṅgasuptatā [numbness of body parts], kuṣṭhaḥ [skin disease], visarpa [spreading cellulitis/erysipelas], sarvāṅgaga rōga [diseases affecting whole body] vyAnavAtakopaH",CA40,Influenza
AAA-2.5,samAnavAtakopaH,"the disorder is characterized by gulmaḥ [palpable glandular enlargment in abdomen/abdominal lump], agnisādaḥ [diminution of agni (digestive power)], atisāra [diarrhoea], śūla [colicky pain in the abdomen], grahaṇī [derangement of agni situated in grahaṇī], pakvāśayajarōga [diseases of/having origin in pakvāśaya], āmāśayajarōgaḥ [diseases of/having origin in āmāśaya] samAnavAtakopaH",ME03,Hernia
AAA-2.6,apAnavAtakopaH,"the disorder is characterized by pakvāśayāśrayarōgaḥ [diseases of pakvāśaya], mūtrapradōṣaḥ [disorders of mūtra/urinary system], śukrapradōṣaḥ [disorders of semen], arśaḥ [haemorrhoids], gudabhraṁśaḥ [rectal prolapse] apAnavAtakopaH",DA70,Haemorrhoids
SR13(AAA-3),vAtaprasaraNam,"It is characterized by abnormal movements of vāta, abdominal distension and gurgling sound in the abdomen. This may be explained by spreading of vatadosha from place of accumulation to other parts or entire body. vAtaprasaraNam",DA93,Intestinal Obstruction
SR14 (AAA-4),vAtakShayaH,"It is characterized by sluggishness in activities, reduced talking, lack of interest in activities, loss of consciousness. This may be explained by marked decrease of vatadosha functions and consequent physiological and pathological ramifications. vAtakShayaH",MG30,Syncope / Fainting
AAB,nAnAtmajavAtavikAraH,nAnAtmajavAtavikAraH,1A00,Cholera
SQ00 (AAB-1),atipralApaH (kEvalavAta),"It is characterised by irrelevant and irrational talk, mental confusion. This may be explained by: (a) Vitiation of Vata affecting motor and intellectual faculties. atipralApaH (kEvalavAta)",GA00,Acute Kidney Injury
SQ05(AAB-2),anavasthitacittatvam (kEvalavAta),"It is characterised by difficulty to concentrate, fickleness, confusion. This may be explained by: (a) Vitiation of vata affecting the mind. anavasthitacittatvam (kEvalavAta)",GA00,Acute Kidney Injury
AAB-3 (SP9Y),a~ggamardaH (kEvalavAta),a~ggamardaH (kEvalavAta),1A00,Cholera
AAB-4 (SP9Y),a~ggaSuShkatA (kEvalavAta),a~ggaSuShkatA (kEvalavAta),1A00,Cholera
SP21 (AAB-5),a~ggaviBraMSaH (kEvalavAta),"It is characterised by atony or flaccidity of the joints, muscles and body parts. This may be explained by: (a) Obstructed or aggravated vata causes loss of functions, flaccidity. a~ggaviBraMSaH (kEvalavAta)",5B80,Obesity
AAB-6,arditaH (kEvalavAta),arditaH (kEvalavAta),CA07,Acute Sinusitis
SM1P (AAB-7),arasaj~jatA (kEvalavAta),"It is characterised by loss of taste which may be associated with loss of smell, anorexia, increased secretion of saliva. This may be explained by: (a) Impairment of digestive and metabolic factors affecting kapha residing on the tongue. arasaj~jatA (kEvalavAta)",1D81,COVID-19
AAB-8,aSabdaSravaNam (kEvalavAta),aSabdaSravaNam (kEvalavAta),1A00,Cholera
AAB-9,asvapnaH (kEvalavAta),asvapnaH (kEvalavAta),1A00,Cholera
AAB-10,akShiBedaH (kEvalavAta),akShiBedaH (kEvalavAta),1A00,Cholera
AAB-11,akShivyudAsaH (kEvalavAta),akShivyudAsaH (kEvalavAta),1A00,Cholera
AAB-12,akShiSUlaH (kEvalavAta),akShiSUlaH (kEvalavAta),1A00,Cholera
AAB-13,ATopaH (kEvalavAta),ATopaH (kEvalavAta),1A00,Cholera
AAB-14,AkShepakaH (kEvalavAta),AkShepakaH (kEvalavAta),1A00,Cholera
SK84 (AAB-15),uccaiHSrutiH (kEvalavAta),"It is characterised by intolerance to loud sounds. This may be explained by: (a) Increased vatadosha, pittadosha leading to hypersensitivity of ear. uccaiHSrutiH (kEvalavAta)",AB00,Otitis Media
AAB-16,udarAveShTaH (kEvalavAta),udarAveShTaH (kEvalavAta),1A00,Cholera
AAB-17,udAvartaH (kEvalavAta),udAvartaH (kEvalavAta),1A00,Cholera
AAB-18,UrustamBaH/ADhyavAtaH (kEvalavAta),UrustamBaH/ADhyavAtaH (kEvalavAta),1A00,Cholera
AAB-19,UrusAdaH (kEvalavAta),UrusAdaH (kEvalavAta),1A00,Cholera
AAB-20,ekA~ggarogaH (kEvalavAta),ekA~ggarogaH (kEvalavAta),1A00,Cholera
AAB-21,oShThaBedaH (kEvalavAta),oShThaBedaH (kEvalavAta),1A00,Cholera
SL02 (AAB-22),kaNThodhvaMsaH (kEvalavAta),"It is characterised by change in the character of voice making it harsh and husky, feeling of roughness and irritation of throat. This may be explained by: (a) Vitiated vata affecting the speech faculties. kaNThodhvaMsaH (kEvalavAta)",CA08,Acute Pharyngitis
AAB-23,karNaSUlaH (kEvalavAta),karNaSUlaH (kEvalavAta),1A00,Cholera
AAB-24,kampaH/vepathuH (kEvalavAta),kampaH/vepathuH (kEvalavAta),1A00,Cholera
AAB-25 (SM1Y),kaShAyAsyatA (kEvalavAta),kaShAyAsyatA (kEvalavAta),1A00,Cholera
SP97 (AAB-26),klamaH (kEvalavAta),"It is characterised by feeling extreme exhaustion even without any physical effort, work. This may be explained by: (a) Vitiation of all the three dosha, seven elementary tissues and ojas. klamaH (kEvalavAta)",MG22,Fatigue / Malaise
SN41 (AAB-27),kArShNyam (kEvalavAta),It is characterised by discoloration or pigmentation of skin. This may be explained by: (a) Increased vatadosha. kArShNyam (kEvalavAta),EA80,Vitiligo
AAB-28,kubjatvam (kEvalavAta),kubjatvam (kEvalavAta),1A00,Cholera
SP61 (AAB-29),kArSyam (kEvalavAta),"It is characterised by sudden or gradual loss of body weight, loss of muscle. This may be explained by: (a) Emaciation in the body due to vitiation of vāta. kArSyam (kEvalavAta)",5B80,Obesity
SN4C (AAB-30),keSaBUmisPuTanam (kEvalavAta),It is characterised by scaling of scalp / forehead skin. This may be explained by: (a) Increased vatadosha. keSaBUmisPuTanam (kEvalavAta),1F00,Fungal Skin Infection
AAB-31,kha~jjaH/kha~jjatvam (kEvalavAta),kha~jjaH/kha~jjatvam (kEvalavAta),1A00,Cholera
AAB-32,garBanASaH (kEvalavAta),garBanASaH (kEvalavAta),1A00,Cholera
SP45 (AAB-33),grIvAstamBaH (kEvalavAta),"It is characterised by pain, stiffness of the neck. This may be explained by: (a) Vitiation of vata causing stiffness of neck muscles. grIvAstamBaH (kEvalavAta)",FA20,Cervical Spondylosis
AAB-34,gudaBraMSaH (kEvalavAta),gudaBraMSaH (kEvalavAta),1A00,Cholera
